Date,Clicks,Impressions,CTR,Position
2025-11-27,0,0,0%,0
2025-11-26,0,0,0%,0
2025-11-25,0,0,0%,0
2025-11-24,0,0,0%,0
2025-11-23,0,0,0%,0
2025-11-22,0,0,0%,0
2025-11-21,0,1,0%,2
2025-11-20,0,0,0%,0
2025-11-19,0,0,0%,0
2025-11-18,0,0,0%,0
2025-11-17,0,1,0%,9
2025-11-16,0,0,0%,0
2025-11-15,0,0,0%,0
